Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Demon of Catastrophes,m19,Near Mint,English,,,27:09.2,91,FALSE,FALSE,
1,1,Demon of Loathing,thb,Near Mint,English,,,27:09.2,292,FALSE,FALSE,
1,1,Demon's Disciple,znr,Near Mint,English,,,27:09.2,97,FALSE,FALSE,
1,1,Despark,sta,Near Mint,English,,,27:09.2,59,FALSE,FALSE,
1,1,Doomskar Warrior,mom,Near Mint,English,,,27:09.2,185,FALSE,FALSE,
1,1,"Drana, the Last Bloodchief",znr,Near Mint,English,,,27:09.2,98,FALSE,FALSE,
1,1,Dreadfeast Demon,vow,Near Mint,English,,,27:09.2,108,FALSE,FALSE,
1,1,Dreadhound,mid,Near Mint,English,,,27:09.2,97,FALSE,FALSE,
1,1,Earthquake,c15,Near Mint,English,,,27:09.2,152,FALSE,FALSE,
1,1,Elephant Grass,vis,Near Mint,English,,,27:09.2,104,FALSE,FALSE,
1,1,Elturel Survivors,clb,Near Mint,English,,,27:09.2,172,FALSE,FALSE,
1,1,Embodiment of Agonies,m20,Near Mint,English,,,27:09.2,98,FALSE,FALSE,
1,1,Ensnared by the Mara,who,Near Mint,English,,,27:09.2,84,FALSE,FALSE,
1,1,"Erebos, Bleak-Hearted",cmm,Near Mint,English,,,27:09.2,868,FALSE,FALSE,
1,1,Eternal Witness,mic,Near Mint,English,,,27:09.2,138,FALSE,FALSE,
1,1,Exsanguinate,som,Near Mint,English,,,27:09.2,61,FALSE,FALSE,
1,1,Fact or Fiction,brc,Near Mint,English,,,27:09.2,84,FALSE,FALSE,
1,1,Faithless Looting,ema,Near Mint,English,,,27:09.2,128,FALSE,FALSE,
1,1,Farseek,c19,Near Mint,English,,,27:09.2,165,FALSE,FALSE,
1,1,Feed the Swarm,soa,Near Mint,English,,,27:09.2,29,FALSE,FALSE,
1,1,Fellwar Stone,ncc,Near Mint,English,,,27:09.2,367,FALSE,FALSE,
1,1,Fellwar Stone,clb,Near Mint,English,,,27:09.2,860,FALSE,FALSE,
1,1,Fellwar Stone,ncc,Near Mint,English,,,27:09.2,367,FALSE,FALSE,
1,1,Fellwar Stone,ncc,Near Mint,English,,,27:09.2,367,FALSE,FALSE,
1,1,Folk Hero,clb,Near Mint,English,foil,,27:09.2,650,FALSE,FALSE,
1,1,For the Ancestors,cmm,Near Mint,English,,,27:09.2,740,FALSE,FALSE,
1,1,"Gadrak, the Crown-Scourge",m21,Near Mint,English,,,27:09.2,146,FALSE,FALSE,
1,1,Gaea's Gift,bro,Near Mint,English,,,27:09.2,182,FALSE,FALSE,
1,1,"Galadriel, Gift-Giver",ltr,Near Mint,English,,,27:09.2,296,FALSE,FALSE,
1,1,Galepowder Mage,clb,Near Mint,English,,,27:09.2,694,FALSE,FALSE,
1,1,Generous Gift,mh1,Near Mint,English,,,27:09.2,11,FALSE,FALSE,
1,1,Gift of Immortality,ths,Near Mint,English,,,27:09.2,14,FALSE,FALSE,
1,1,Goblin War Drums,fem,Near Mint,English,,,27:09.2,58b,FALSE,FALSE,
1,1,Graf Harvest,emn,Near Mint,English,,,27:09.2,90,FALSE,FALSE,
1,1,Gray Merchant of Asphodel,thb,Near Mint,English,,,27:09.2,99,FALSE,FALSE,
1,1,"Halana and Alena, Partners",vow,Near Mint,English,,,27:09.2,239,FALSE,FALSE,
1,1,Hammer of Purphoros,ths,Near Mint,English,,,27:09.2,124,FALSE,FALSE,
1,1,"Hanweir Garrison // Hanweir, the Writhing Township",emn,Near Mint,English,,,27:09.2,130,FALSE,FALSE,
1,1,Hardy Outlander,clb,Near Mint,English,,,27:09.2,235,FALSE,FALSE,
1,1,Harrow,znc,Near Mint,English,,,27:09.2,69,FALSE,FALSE,
1,1,Harvester of Souls,ddq,Near Mint,English,,,27:09.2,60,FALSE,FALSE,
1,1,Hellrider,ddk,Near Mint,English,,,27:09.2,52,FALSE,FALSE,
1,1,High Priest of Penance,clb,Near Mint,English,,,27:09.2,848,FALSE,FALSE,
1,1,Hunter's Insight,jmp,Near Mint,English,,,27:09.2,402,FALSE,FALSE,
1,1,Ingenious Artillerist,clb,Near Mint,English,,,27:09.2,182,FALSE,FALSE,
1,1,"Judith, the Scourge Diva",rna,Near Mint,English,,,27:09.2,185,FALSE,FALSE,
1,1,Lantern of Insight,5dn,Near Mint,English,,,27:09.2,135,FALSE,FALSE,
1,1,"Lorcan, Warlock Collector",afc,Near Mint,English,,,27:09.2,27,FALSE,FALSE,
1,1,Lord of the Accursed,akh,Near Mint,English,,,27:09.2,99,FALSE,FALSE,
1,1,Magmaquake,c15,Near Mint,English,,,27:09.2,162,FALSE,FALSE,
1,1,Magmatic Force,scd,Near Mint,English,,,27:09.2,150,FALSE,FALSE,
1,1,Marauding Blight-Priest,znr,Near Mint,English,,,27:09.2,112,FALSE,FALSE,
1,1,March of Wretched Sorrow,neo,Near Mint,English,,,27:09.2,111,FALSE,FALSE,
1,1,Maskwood Nexus,clb,Near Mint,English,,,27:09.2,865,FALSE,FALSE,
1,1,Mind Stone,wth,Near Mint,English,,,27:09.2,153,FALSE,FALSE,
1,1,Mind Stone,c21,Near Mint,English,,,27:09.2,251,FALSE,FALSE,
1,1,Mirror March,rna,Near Mint,English,,,27:09.2,108,FALSE,FALSE,
1,1,"Moseo, Vein's New Dean",sos,Near Mint,English,,,27:09.2,91,FALSE,FALSE,
1,1,Mother of Runes,clb,Near Mint,English,,,27:09.2,702,FALSE,FALSE,
1,1,Murderous Rider // Swift End,eld,Near Mint,English,,,27:09.2,287,FALSE,FALSE,
1,1,Mutilate,m13,Near Mint,English,,,27:09.2,102,FALSE,FALSE,
1,1,Nalia de'Arnise,clb,Near Mint,English,foil,,27:09.2,649,FALSE,FALSE,
1,1,Necrotic Hex,cmr,Near Mint,English,,,27:09.2,137,FALSE,FALSE,
1,1,Necrotic Ooze,2x2,Near Mint,English,,,27:09.2,83,FALSE,FALSE,
1,1,Nevinyrral's Disk,c17,Near Mint,English,,,27:09.2,217,FALSE,FALSE,
1,1,Norn's Annex,nph,Near Mint,English,,,27:09.2,17,FALSE,FALSE,
1,1,Nyx Lotus,thb,Near Mint,English,,,27:09.2,235,FALSE,FALSE,
1,1,"Ob Nixilis, Unshackled",m15,Near Mint,English,,,27:09.2,110,FALSE,FALSE,
1,1,Ornithopter of Paradise,mh2,Near Mint,English,,,27:09.2,232,FALSE,FALSE,
1,1,Oubliette,2xm,Near Mint,English,,,27:09.2,100,FALSE,FALSE,
1,1,Oversold Cemetery,dmr,Near Mint,English,,,27:09.2,309,FALSE,FALSE,
1,1,Palace Jailer,plst,Near Mint,English,,,27:09.2,CN2-18,FALSE,FALSE,
1,1,Pathrazer of Ulamog,roe,Near Mint,English,,,27:09.2,9,FALSE,FALSE,
1,1,Patriar's Seal,clb,Near Mint,English,,,27:09.2,332,FALSE,FALSE,
1,1,Phyrexian Ghoul,usg,Near Mint,English,,,27:09.2,148,FALSE,FALSE,
1,1,Plaguecrafter,afc,Near Mint,English,,,27:09.2,107,FALSE,FALSE,
1,1,Pontiff of Blight,clb,Near Mint,English,,,27:09.2,768,FALSE,FALSE,
1,1,Priest of Forgotten Gods,rna,Near Mint,English,,,27:09.2,83,FALSE,FALSE,
1,1,Quirion Trailblazer,inv,Near Mint,English,,,27:09.2,205,FALSE,FALSE,
1,1,Rakdos Carnarium,c16,Near Mint,English,,,27:09.2,315,FALSE,FALSE,
1,1,Rakdos Charm,c17,Near Mint,English,,,27:09.2,190,FALSE,FALSE,
1,1,"Rakdos, the Showstopper",rna,Near Mint,English,,,27:09.2,199,FALSE,FALSE,
1,1,Ravenform,khm,Near Mint,English,,,27:09.2,72,FALSE,FALSE,
1,1,Reaper from the Abyss,c14,Near Mint,English,,,27:09.2,159,FALSE,FALSE,
1,1,Rings of Brighthearth,cmr,Near Mint,English,,,27:09.2,335,FALSE,FALSE,
1,1,Rise of the Dread Marn,khm,Near Mint,English,,,27:09.2,107,FALSE,FALSE,
1,1,Riveteers Charm,snc,Near Mint,English,,,27:09.2,331,FALSE,FALSE,
1,1,Secure the Wastes,dtk,Near Mint,English,,,27:09.2,36,FALSE,FALSE,
1,1,Sevinne's Reclamation,clb,Near Mint,English,,,27:09.2,707,FALSE,FALSE,
1,1,"Shaile, Dean of Radiance // Embrose, Dean of Shadow",stx,Near Mint,English,,,27:09.2,330,FALSE,FALSE,
1,1,Sickening Dreams,tor,Near Mint,English,,,27:09.2,83,FALSE,FALSE,
1,1,Sign in Blood,m13,Near Mint,English,,,27:09.2,110,FALSE,FALSE,
1,1,"Sivriss, Nightmare Speaker",clb,Near Mint,English,,,27:09.2,148,FALSE,FALSE,
1,1,Skyfisher Spider,bro,Near Mint,English,,,27:09.2,221,FALSE,FALSE,
1,1,Skyline Despot,afc,Near Mint,English,,,27:09.2,140,FALSE,FALSE,
1,1,Snakeskin Veil,khm,Near Mint,English,,,27:09.2,194,FALSE,FALSE,
1,1,Sol Ring,znc,Near Mint,English,,,27:09.2,120,FALSE,FALSE,
1,1,Sol Ring,mic,Near Mint,English,,,27:09.2,162,FALSE,FALSE,
1,1,Sol Ring,nec,Near Mint,English,,,27:09.2,161,FALSE,FALSE,
